frame,time_s,region,occupancy,current_flow_per_min,new_entry,count_motorbike,count_car,count_bus,count_truck
74,2.467,4,3,5.0,0,5,0,0,0
75,2.5,1,4,9.0,0,7,1,0,1
75,2.5,2,3,6.0,0,4,2,0,0
75,2.5,3,1,7.0,0,4,3,0,0
75,2.5,4,2,5.0,0,5,0,0,0
76,2.533,1,4,9.0,0,7,1,0,1
76,2.533,2,3,6.0,0,4,2,0,0
76,2.533,3,1,7.0,0,4,3,0,0
76,2.533,4,2,5.0,0,5,0,0,0
77,2.567,1,4,9.0,0,7,1,0,1
77,2.567,2,2,6.0,0,4,2,0,0
77,2.567,3,1,7.0,0,4,3,0,0
77,2.567,4,2,5.0,0,5,0,0,0
78,2.6,1,3,9.0,0,7,1,0,1
78,2.6,2,2,6.0,0,4,2,0,0
78,2.6,3,1,7.0,0,4,3,0,0
78,2.6,4,2,5.0,0,5,0,0,0
79,2.633,1,3,9.0,0,7,1,0,1
79,2.633,2,2,6.0,0,4,2,0,0
79,2.633,3,1,7.0,0,4,3,0,0
79,2.633,4,3,5.0,0,5,0,0,0
80,2.667,1,3,9.0,0,7,1,0,1
80,2.667,2,2,6.0,0,4,2,0,0
80,2.667,3,1,7.0,0,4,3,0,0
80,2.667,4,3,5.0,0,5,0,0,0
81,2.7,1,3,9.0,0,7,1,0,1
81,2.7,2,2,6.0,0,4,2,0,0
81,2.7,3,1,7.0,0,4,3,0,0
81,2.7,4,3,5.0,0,5,0,0,0
82,2.733,1,3,9.0,0,7,1,0,1
82,2.733,2,2,6.0,0,4,2,0,0
82,2.733,3,2,8.0,1,4,4,0,0
82,2.733,4,3,5.0,0,5,0,0,0
83,2.767,1,2,9.0,0,7,1,0,1
83,2.767,2,2,6.0,0,4,2,0,0
83,2.767,3,2,8.0,0,4,4,0,0
83,2.767,4,3,5.0,0,5,0,0,0
84,2.8,1,4,10.0,1,8,1,0,1
84,2.8,2,2,6.0,0,4,2,0,0
84,2.8,3,2,8.0,0,4,4,0,0
84,2.8,4,3,5.0,0,5,0,0,0
85,2.833,1,3,10.0,0,8,1,0,1
85,2.833,2,2,6.0,0,4,2,0,0
85,2.833,3,2,8.0,0,4,4,0,0
85,2.833,4,2,5.0,0,5,0,0,0
86,2.867,1,2,10.0,0,8,1,0,1
86,2.867,2,2,6.0,0,4,2,0,0
86,2.867,3,2,8.0,0,4,4,0,0
86,2.867,4,2,5.0,0,5,0,0,0
87,2.9,1,2,10.0,0,8,1,0,1
87,2.9,2,2,6.0,0,4,2,0,0
87,2.9,3,2,8.0,0,4,4,0,0
87,2.9,4,2,5.0,0,5,0,0,0
88,2.933,1,2,10.0,0,8,1,0,1
88,2.933,2,3,7.0,1,5,2,0,0
88,2.933,3,2,8.0,0,4,4,0,0
88,2.933,4,2,5.0,0,5,0,0,0
89,2.967,1,3,11.0,1,9,1,0,1
89,2.967,2,3,7.0,0,5,2,0,0
89,2.967,3,2,8.0,0,4,4,0,0
89,2.967,4,2,5.0,0,5,0,0,0
90,3.0,1,3,11.0,0,9,1,0,1
90,3.0,2,4,8.0,1,6,2,0,0
90,3.0,3,2,8.0,0,4,4,0,0
90,3.0,4,2,5.0,0,5,0,0,0
91,3.033,1,4,12.0,1,10,1,0,1
91,3.033,2,4,9.0,1,7,2,0,0
91,3.033,3,2,8.0,0,4,4,0,0
91,3.033,4,2,5.0,0,5,0,0,0
92,3.067,1,4,12.0,0,10,1,0,1
92,3.067,2,4,9.0,0,7,2,0,0
92,3.067,3,2,8.0,0,4,4,0,0
92,3.067,4,2,5.0,0,5,0,0,0
93,3.1,1,3,12.0,0,10,1,0,1
93,3.1,2,4,9.0,0,7,2,0,0
93,3.1,3,2,8.0,0,4,4,0,0
93,3.1,4,2,5.0,0,5,0,0,0
94,3.133,1,2,12.0,0,10,1,0,1
94,3.133,2,4,9.0,0,7,2,0,0
94,3.133,3,2,8.0,0,4,4,0,0
94,3.133,4,2,5.0,0,5,0,0,0
95,3.167,1,2,12.0,0,10,1,0,1
95,3.167,2,4,9.0,0,7,2,0,0
95,3.167,3,3,9.0,1,5,4,0,0
95,3.167,4,2,5.0,0,5,0,0,0
96,3.2,1,2,12.0,0,10,1,0,1
96,3.2,2,4,9.0,0,7,2,0,0
96,3.2,3,3,9.0,0,5,4,0,0
96,3.2,4,1,5.0,0,5,0,0,0
97,3.233,1,2,12.0,0,10,1,0,1
97,3.233,2,4,9.0,0,7,2,0,0
97,3.233,3,3,9.0,0,5,4,0,0
97,3.233,4,1,5.0,0,5,0,0,0
98,3.267,1,4,14.0,1,12,1,0,1
98,3.267,2,4,9.0,0,7,2,0,0
98,3.267,3,3,9.0,0,5,4,0,0
98,3.267,4,1,5.0,0,5,0,0,0
99,3.3,1,4,14.0,0,12,1,0,1
99,3.3,2,4,9.0,0,7,2,0,0
99,3.3,3,3,9.0,0,5,4,0,0
99,3.3,4,1,5.0,0,5,0,0,0
100,3.333,1,4,14.0,0,12,1,0,1
100,3.333,2,4,9.0,0,7,2,0,0
100,3.333,3,3,9.0,0,5,4,0,0
100,3.333,4,1,5.0,0,5,0,0,0
101,3.367,1,4,14.0,0,12,1,0,1
101,3.367,2,4,9.0,0,7,2,0,0
101,3.367,3,3,9.0,0,5,4,0,0
101,3.367,4,1,5.0,0,5,0,0,0
102,3.4,1,5,15.0,1,13,1,0,1
102,3.4,2,4,9.0,0,7,2,0,0
102,3.4,3,3,9.0,0,5,4,0,0
102,3.4,4,1,5.0,0,5,0,0,0
103,3.433,1,4,15.0,0,13,1,0,1
103,3.433,2,4,9.0,0,7,2,0,0
103,3.433,3,3,9.0,0,5,4,0,0
103,3.433,4,1,5.0,0,5,0,0,0
104,3.467,1,4,15.0,0,13,1,0,1
104,3.467,2,4,9.0,0,7,2,0,0
104,3.467,3,3,9.0,0,5,4,0,0
104,3.467,4,1,5.0,0,5,0,0,0
105,3.5,1,4,15.0,0,13,1,0,1
105,3.5,2,4,9.0,0,7,2,0,0
105,3.5,3,4,10.0,1,6,4,0,0
105,3.5,4,1,5.0,0,5,0,0,0
106,3.533,1,5,16.0,1,13,2,0,1
106,3.533,2,3,9.0,0,7,2,0,0
106,3.533,3,4,10.0,0,6,4,0,0
106,3.533,4,1,5.0,0,5,0,0,0
107,3.567,1,5,16.0,0,13,2,0,1
107,3.567,2,3,9.0,0,7,2,0,0
107,3.567,3,3,10.0,0,6,4,0,0
107,3.567,4,1,5.0,0,5,0,0,0
108,3.6,1,5,16.0,0,13,2,0,1
108,3.6,2,3,9.0,0,7,2,0,0
108,3.6,3,4,11.0,1,7,4,0,0
108,3.6,4,1,5.0,0,5,0,0,0
109,3.633,1,5,16.0,0,13,2,0,1
109,3.633,2,3,9.0,0,7,2,0,0
109,3.633,3,4,11.0,0,7,4,0,0
109,3.633,4,1,5.0,0,5,0,0,0
110,3.667,1,6,16.0,0,13,2,0,1
110,3.667,2,2,9.0,0,7,2,0,0
110,3.667,3,4,11.0,0,7,4,0,0
110,3.667,4,1,5.0,0,5,0,0,0
111,3.7,1,5,16.0,0,13,2,0,1
111,3.7,2,2,9.0,0,7,2,0,0
111,3.7,3,4,11.0,0,7,4,0,0
111,3.7,4,1,5.0,0,5,0,0,0
112,3.733,1,5,16.0,0,13,2,0,1
112,3.733,2,3,9.0,0,7,2,0,0
112,3.733,3,4,11.0,0,7,4,0,0
112,3.733,4,1,5.0,0,5,0,0,0
113,3.767,1,5,16.0,0,13,2,0,1
113,3.767,2,3,9.0,0,7,2,0,0
113,3.767,3,4,11.0,0,7,4,0,0
113,3.767,4,1,5.0,0,5,0,0,0
114,3.8,1,4,16.0,0,13,2,0,1
114,3.8,2,2,9.0,0,7,2,0,0
114,3.8,3,3,11.0,0,7,4,0,0
114,3.8,4,1,5.0,0,5,0,0,0
115,3.833,1,4,16.0,0,13,2,0,1
115,3.833,2,1,9.0,0,7,2,0,0
115,3.833,3,4,12.0,1,8,4,0,0
115,3.833,4,1,5.0,0,5,0,0,0
116,3.867,1,4,16.0,0,13,2,0,1
116,3.867,2,1,9.0,0,7,2,0,0
116,3.867,3,4,12.0,0,8,4,0,0
116,3.867,4,2,6.0,1,6,0,0,0
117,3.9,1,4,16.0,0,13,2,0,1
117,3.9,2,1,9.0,0,7,2,0,0
117,3.9,3,3,12.0,0,8,4,0,0
117,3.9,4,2,6.0,0,6,0,0,0
118,3.933,1,5,17.0,1,14,2,0,1
118,3.933,2,1,9.0,0,7,2,0,0
118,3.933,3,2,12.0,0,8,4,0,0
118,3.933,4,2,6.0,0,6,0,0,0
119,3.967,1,4,17.0,0,14,2,0,1
119,3.967,2,1,9.0,0,7,2,0,0
119,3.967,3,4,12.0,0,8,4,0,0
119,3.967,4,2,6.0,0,6,0,0,0
120,4.0,1,6,17.0,0,14,2,0,1
120,4.0,2,1,9.0,0,7,2,0,0
120,4.0,3,4,12.0,0,8,4,0,0
